# source: https://ranking.net/rankings/best-famicon-games
# how: Minna no Ranking (ranking.net) Famicom software reader poll, top 20 by reader votes; '<rank> 位 <title>' headings in page order, best-first. Japanese Family Computer (Famicom) software only.
Super Mario Bros. | スーパーマリオブラザーズ
Dragon Quest III | ドラゴンクエストIII そして伝説へ…
Super Mario Bros. 3 | スーパーマリオブラザーズ3
The Legend of Zelda | ゼルダの伝説1
Dragon Quest II | ドラゴンクエストII 悪霊の神々
Dragon Quest | ドラゴンクエスト
Dragon Quest IV | ドラゴンクエストIV 導かれし者たち
Super Dodge Ball | 熱血高校ドッジボール部
Final Fantasy III | ファイナルファンタジーIII
Momotarō Dentetsu | 桃太郎電鉄
Tetris | テトリス
Mario Bros. | マリオブラザーズ
Gradius | グラディウス
Excitebike | エキサイトバイク
Donkey Kong | ドンキーコング
Dr. Mario | ドクターマリオ
The Goonies | グーニーズ
Kung-Fu Master | スパルタンX
Kirby's Adventure | 星のカービィ 夢の泉の物語
TwinBee | ツインビー
